wl,n
0.4000,2.4392710888511
0.4460,2.3826994567492
0.4920,2.3459402815479
0.5380,2.3203020189062
0.5840,2.3015128904905
0.6300,2.287220566193
0.6760,2.2760227958279
0.7220,2.2670330279416
0.7680,2.2596645861982
0.8140,2.2535147727002
0.8600,2.2482987307899
0.9060,2.24380980766
0.9520,2.2398948182521
0.9980,2.2364380741758
1.044,2.2333507676543
1.090,2.2305637351395
1.136,2.2280224148009
1.182,2.2256832637004
1.228,2.2235111675795
1.274,2.221477538889
1.320,2.2195589004292
1.366,2.2177358170676
1.412,2.2159920805567
1.458,2.21431408081
1.504,2.212690316199
1.550,2.2111110086536
1.596,2.2095677985792
1.642,2.2080535011402
1.688,2.2065619101394
1.734,2.205087639119
1.780,2.2036259917917
1.826,2.2021728557532
1.872,2.2007246147964
1.918,2.1992780761864
1.964,2.1978304100381
2.010,2.1963790985403
2.056,2.1949218932348
2.102,2.193456778916
2.148,2.1919819430024
2.194,2.1904957494458
2.240,2.1889967164262
2.286,2.1874834972121
2.332,2.1859548636832
2.378,2.1844096920966
2.424,2.1828469507544
2.470,2.1812656892845
2.516,2.1796650292974
2.562,2.1780441562194
2.608,2.1764023121335
2.654,2.1747387894895
2.700,2.1730529255605
2.746,2.1713440975477
2.792,2.1696117182458
2.838,2.167855232196
2.884,2.166074112264
2.930,2.1642678565889
2.976,2.1624359858568
3.022,2.1605780408592
3.068,2.1586935803015
3.114,2.1567821788321
3.160,2.1548434252655
3.206,2.1528769209773
3.252,2.1508822784511
3.298,2.1488591199606
3.344,2.1468070763704
3.390,2.1447257860445
3.436,2.142614893848
3.482,2.1404740502349
3.528,2.13830291041
3.574,2.1361011335583
3.620,2.1338683821357
3.666,2.1316043212121
3.712,2.1293086178639
3.758,2.1269809406092
3.804,2.1246209588821
3.850,2.1222283425417
3.896,2.1198027614123
3.942,2.1173438848514
3.988,2.1148513813436
4.034,2.1123249181161
4.080,2.1097641607744
4.126,2.1071687729573
4.172,2.1045384160059
4.218,2.1018727486489
4.264,2.0991714266998
4.310,2.096434102765
4.356,2.0936604259628
4.402,2.0908500416506
4.448,2.0880025911597
4.494,2.085117711537
4.540,2.0821950352922
4.586,2.0792341901496
4.632,2.0762347988045
4.678,2.0731964786818
4.724,2.0701188416977
4.770,2.0670014940234
4.816,2.0638440358494
4.862,2.0606460611505
4.908,2.0574071574511
4.954,2.0541269055897
5.000,2.0508048794821
